item,type,source_path_or_command,classification,priority,confidence,note
macOS 26.4.1,state,sw_vers,KEEP_NOW,critical,high,Base OS version for compatibility checks.
x86_64 architecture,state,uname -m,KEEP_NOW,critical,high,Hardware architecture affects binary/runtime selection.
Homebrew,cli,brew --version,KEEP_NOW,critical,high,Primary package manager.
git,cli,/usr/local/bin/git,KEEP_NOW,critical,high,Core VCS tooling.
gh,cli,/usr/local/bin/gh,KEEP_NOW,important,high,GitHub workflow tooling.
node,cli,/Users/black.terminal/.nvm/versions/node/v22.22.0/bin/node,KEEP_NOW,critical,high,Primary JS runtime command.
npm,cli,npm --version,KEEP_NOW,critical,high,Node package manager.
pnpm,cli,command pnpm --version,KEEP_NOW,important,high,Preferred Node package manager in user rules.
yarn,cli,yarn --version,KEEP_LATER,optional,high,Present but not primary manager.
python,runtime,/Users/black.terminal/.pyenv/shims/python,KEEP_NOW,critical,high,Primary Python runtime entrypoint.
python3,runtime,/Users/black.terminal/.pyenv/shims/python3,KEEP_NOW,critical,high,Common Python entrypoint.
pip,cli,pip --version,KEEP_NOW,important,high,Python package installer.
pip3,cli,pip3 --version,KEEP_NOW,important,high,Duplicate entrypoint of pip in this setup.
uv,cli,uv --version,KEEP_NOW,important,high,Fast Python tooling manager.
pipx,cli,pipx --version,KEEP_NOW,important,high,Isolated Python app installs.
pyenv,runtime,pyenv --version,KEEP_NOW,critical,high,Python version management.
pyenv-virtualenv,cli,brew leaves,KEEP_NOW,important,high,Virtualenv integration for pyenv.
nvm,runtime,~/.nvm and brew leaves,KEEP_NOW,important,medium,Function-based tool plus formula listing; shell init required.
mise,runtime,/usr/local/bin/mise,KEEP_NOW,important,high,Runtime manager present in toolchain.
ruby,runtime,/usr/bin/ruby,KEEP_LATER,optional,high,System Ruby available; not primary stack.
java,runtime,/usr/bin/java,KEEP_LATER,optional,high,Java runtime present for occasional tooling.
deno,runtime,/usr/local/bin/deno,KEEP_LATER,optional,high,Installed but not primary workflow.
lua,runtime,/usr/local/bin/lua,KEEP_LATER,optional,high,Installed dependency/runtime.
postgresql@16,service,brew services list,KEEP_NOW,critical,high,Database service running.
redis,service,brew services list,KEEP_NOW,critical,high,Cache/message broker service running.
redis-cli,cli,redis-cli --version,KEEP_NOW,important,high,Service verification and local ops.
sqlite3,cli,sqlite3 --version,KEEP_NOW,important,high,Local DB tooling.
supabase,cli,supabase --version,KEEP_NOW,important,high,Supabase workflow dependency.
actionlint,cli,brew leaves,KEEP_LATER,optional,high,CI lint helper.
bat,cli,/usr/local/bin/bat,KEEP_NOW,important,high,Common terminal workflow utility.
cmake,cli,/usr/local/bin/cmake,KEEP_LATER,optional,high,Build tool; needed for some native deps.
duti,cli,brew leaves,KEEP_LATER,optional,high,macOS default app association helper.
eza,cli,/usr/local/bin/eza,KEEP_NOW,important,high,Preferred ls replacement.
fd,cli,/usr/local/bin/fd,KEEP_NOW,important,high,Fast file finder.
ffmpeg,cli,/usr/local/bin/ffmpeg,KEEP_LATER,optional,medium,Version capture uncertain in source.
fswatch,cli,/usr/local/bin/fswatch,KEEP_NOW,important,high,File watch utility in active use.
fzf,cli,/usr/local/bin/fzf,KEEP_NOW,important,high,Fuzzy finder utility.
gnu-sed,cli,brew leaves,KEEP_LATER,optional,high,GNU sed compatibility.
jq,cli,/usr/local/bin/jq,KEEP_NOW,important,high,JSON processing utility.
ripgrep,cli,/usr/local/bin/rg,KEEP_NOW,critical,high,Primary code search utility.
tmux,cli,/usr/local/bin/tmux,KEEP_NOW,important,high,Terminal multiplexing.
watchman,service,brew list --formula --versions,KEEP_LATER,optional,medium,Installed as formula; service state not listed.
wget,cli,/usr/local/bin/wget,KEEP_NOW,important,high,Download utility.
yt-dlp,cli,/usr/local/bin/yt-dlp,KEEP_LATER,optional,high,Media workflow utility.
zoxide,cli,/usr/local/bin/zoxide,KEEP_NOW,important,high,Directory jump utility.
gh extensions,state,gh plus extension ecosystem,KEEP_LATER,optional,low,No extension inventory captured in source.
claude,cli,/Users/black.terminal/.local/bin/claude,KEEP_NOW,critical,high,Primary agent CLI.
codex,cli,/Users/black.terminal/.nvm/versions/node/v22.22.0/bin/codex,KEEP_NOW,critical,high,Primary codex CLI.
dev-browser,cli,npm globals,KEEP_NOW,important,high,Preferred browser automation helper in user rules.
firecrawl-cli,cli,npm globals,KEEP_LATER,optional,high,Research/scraping utility.
iterm-mcp,cli,npm globals,KEEP_LATER,optional,high,MCP helper CLI.
@continuedev/cli,cli,npm globals,KEEP_LATER,optional,high,Continue ecosystem CLI.
@withone/cli,cli,npm globals,KEEP_LATER,optional,high,Installed global utility.
opencode-ai,cli,npm globals,KEEP_LATER,optional,high,Installed global utility.
repomix,cli,npm globals,KEEP_LATER,optional,high,Code packaging utility.
greptile,cli,npm globals,KEEP_LATER,optional,high,Greptile CLI installed.
pre-commit,cli,pipx list,KEEP_NOW,important,high,Hook tooling for repos.
bsela tool,cli,uv tool list,KEEP_LATER,optional,medium,Local project tool exposure from uv.
Cursor,app,/Applications/Cursor.app,KEEP_NOW,critical,high,Primary editor.
Windsurf,app,/Applications/Windsurf.app,KEEP_NOW,important,high,Secondary editor.
Claude (desktop),app,/Applications/Claude.app,KEEP_NOW,important,high,Desktop AI client.
Codex (desktop),app,/Applications/Codex.app,KEEP_NOW,important,high,Desktop codex client.
Warp,app,/Applications/Warp.app,KEEP_NOW,important,high,Alternative terminal.
Terminal,app,/Applications/Utilities/Terminal.app,KEEP_NOW,critical,high,Current TERM_PROGRAM.
iTerm2,app,brew cask list,KEEP_LATER,optional,high,Installed terminal alternative.
Docker Desktop,app,brew cask docker-desktop,KEEP_LATER,important,medium,Installed but docker CLI missing from PATH.
GitHub Desktop,app,/Applications/GitHub Desktop.app,KEEP_LATER,optional,high,GUI Git helper.
Brave Browser,app,/Applications/Brave Browser.app,KEEP_LATER,optional,high,Installed browser.
Google Chrome Dev,app,/Applications/Google Chrome Dev.app,KEEP_NOW,important,high,Used by chrome-devtools MCP config.
Discord,app,/Applications/Discord.app,DROP,optional,medium,Not required for migration-critical dev baseline.
Telegram,app,/Applications/Telegram.app,KEEP_LATER,optional,high,Communication app.
Spotify,app,/Applications/Spotify.app,DROP,optional,medium,Non-dev app for migration scope.
NordVPN,app,/Applications/NordVPN.app,KEEP_LATER,important,medium,Potential security/network dependency.
VMware Fusion,app,/Applications/VMware Fusion.app,KEEP_LATER,optional,high,VM tooling optional.
VLC,app,/Applications/VLC.app,DROP,optional,medium,Non-dev media app.
Tor Browser,app,/Applications/Tor Browser.app,KEEP_LATER,optional,medium,Specialized browsing/security use.
The Unarchiver,app,/Applications/The Unarchiver.app,KEEP_LATER,optional,high,Archive utility.
qBittorrent,app,/Applications/qbittorrent.app,DROP,optional,medium,Not migration-critical for dev baseline.
